Source,Target,BLEU,"Data Size (parallel sentences, K)"
hrv,swe,6,56
hrv,tur,1.9,42
hrv,ukr,6.9,55
hrv,vie,9.4,46
hrv,cmn,4.8,42
hrv,zh-tw,2.9,
hun,ara,1.6,60
hun,bul,5.6,68
hun,bos,2.6,39
hun,dan,5.9,69
hun,deu,7,192
hun,ell,5.5,64
hun,eng,16.7,488
hun,epo,6.5,57
hun,spa,10.8,167
hun,fra,10.9,164
hun,fr-ca,9.3,
hun,glg,3.9,50
hun,heb,2.1,65
hun,hrv,3.6,58
hun,ind,6.6,70
hun,ita,8.2,146
hun,jpn,4.4,99
hun,kor,6.2,49
hun,mkd,3.9,47
hun,nob,4.5,
hun,nld,6,121
hun,pol,4.3,126
hun,por,9.7,148
hun,pt-br,9.9,
hun,ron,7.1,87
hun,rus,5.8,149
hun,slk,3.4,56
hun,slv,4.2,55
hun,srp,1.2,53
hun,swe,5.3,88
hun,tur,3,75
hun,ukr,4.4,83
hun,vie,8.5,74
hun,cmn,6.5,75
hun,zh-tw,4.2,
ind,ara,4.1,90
ind,bul,9.1,60
ind,bos,4.2,38
ind,ces,5.2,78
ind,dan,10.1,63
ind,deu,6.7,107
ind,ell,11.1,73
ind,eng,24.9,1019
ind,epo,8.2,46
ind,spa,16.4,198
ind,fra,15.1,161
ind,fr-ca,11.1,
ind,glg,9.9,56
ind,heb,5.1,63
ind,hrv,5.6,47
ind,hun,5.2,70
ind,ita,12.7,146
ind,jpn,5.8,77
ind,kor,9.1,45
ind,mkd,7,55
ind,nob,10,
ind,nld,9.4,101
ind,pol,5.5,93
ind,por,14.6,204
ind,pt-br,16.7,
ind,ron,9.8,94
ind,rus,8.1,127
ind,slk,3.6,37
ind,slv,5.6,46
ind,srp,1.8,56
ind,swe,9.3,79
ind,tur,4.6,79
ind,ukr,7.3,73
ind,vie,18.5,146
ind,cmn,11,83
ind,zh-tw,6.2,
ita,ara,5.3,123
ita,bul,11.7,102
ita,bos,5,52
ita,ces,6.9,161
ita,dan,13.1,115
ita,deu,11.5,388
ita,ell,14.5,119
ita,eng,30,2126
ita,epo,13.9,101
ita,spa,26.4,671
ita,fra,24.9,744
ita,fr-ca,20,
ita,glg,19.3,120
ita,heb,6.2,121
ita,hrv,7,80
ita,hun,6.7,146
ita,ind,14,146
ita,jpn,7.3,179
ita,kor,9,83
ita,mkd,9.9,73
ita,nob,13.3,
ita,nld,12.8,240
ita,pol,7.3,219
ita,por,22.8,480
ita,pt-br,24.9,
ita,ron,13.3,161
ita,rus,10.2,303
ita,slk,5.4,72
ita,slv,7.1,81
ita,srp,2.3,83
ita,swe,11.9,153
ita,tur,4.6,112
ita,ukr,8.8,144
ita,vie,15.3,143
ita,cmn,10.7,137
ita,zh-tw,5.8,
jpn,ara,1.4,83
jpn,bul,1.9,71
jpn,bos,0.7,36
jpn,ces,1.8,105
jpn,dan,3.1,76
jpn,deu,2.7,217
jpn,ell,2.5,69
jpn,eng,7.9,851
jpn,epo,2.2,48
jpn,spa,6,219
jpn,fra,6,214
jpn,fr-ca,4.7,
jpn,glg,2.3,50
jpn,heb,1.4,82
jpn,hrv,1.3,48
jpn,hun,2,99
jpn,ind,3.5,77
jpn,ita,4.6,179
jpn,kor,16.9,222
jpn,mkd,1.6,48
jpn,nob,2.6,
jpn,nld,3.1,123
jpn,pol,1.8,128
jpn,por,5.1,175
jpn,pt-br,4.9,
jpn,ron,2.8,79
jpn,rus,2.7,196
