Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Entity overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
ti,th,0.1,49,5,0.0,10000,81,123.45679012345678,1.0,0.8425,0.6615,0.5687,0.5043,0.3306
ti,tk,0.34,13,41,0.0,1152,81,14.222222222222221,1.0,0.6545,0.8266,0.879,0.6284,0.1567
ti,tr,0.38,7,47,0.0,10000,81,123.45679012345678,1.0,0.649,0.6067,0.5922,0.5295,0.1394
ti,uk,0.19,43,11,0.0,10000,81,123.45679012345678,1.0,0.7183,0.5868,0.0002,0.4829,0.1942
ti,ug,0.3,22,32,0.0,1167,81,14.407407407407407,1.0,0.6018,0.8079999999999999,0.7877,0.6284,0.2485
ti,uz,0.33,14,40,0.0,10000,81,123.45679012345678,1.0,0.7016,0.6745,0.0002,0.6284,1.0
ti,vi,0.11,48,6,0.0,10000,81,123.45679012345678,1.0,0.8305,0.6466,0.5456,0.4997,0.3589
ti,xh,0.09,51,3,0.0,218,81,2.691358024691358,1.0,0.7308,0.5479999999999999,0.0002,0.4571,0.2641
ti,yo,0.29,26,28,0.0,7227,81,89.22222222222223,1.0,0.8564,0.6639,0.5922,0.4867,0.1971
ti,zu,0.3,22,32,0.0,462,81,5.703703703703703,1.0,0.7311,0.6466,0.5228,0.5199,0.2296
uk,am,0.18,28,26,0.0,2028,10000,0.2028,1.0,0.5959,0.5491,0.5687,0.4249,0.2145
uk,ar,0.1,43,11,0.0,10000,10000,1.0,1.0,0.6059,0.6667,0.0002,0.6737,1.0
uk,az,0.35,2,52,0.0015,10000,10000,1.0,1.0,0.6059,0.6667,0.0002,0.6737,1.0
uk,bn,0.26,17,37,0.0,10000,10000,1.0,0.875,0.6421,0.6046,0.6162,0.5256,0.3128
uk,ca,0.24,22,32,0.0005,10000,10000,1.0,0.9091,0.5398,0.5075,0.6162,0.4021,0.0892
uk,ceb,0.1,43,11,0.0,10000,10000,1.0,1.0,0.7857,0.6048,0.0002,0.4692,0.5018
uk,ckb,0.25,19,35,0.0,6279,10000,0.6279,0.875,0.8632,0.9071,0.0002,0.6737,0.1119
uk,de,0.25,19,35,0.0002,10000,10000,1.0,0.8571,0.4658,0.5062,0.5456,0.4605,0.044000000000000004
uk,fa,0.2,26,28,0.0,10000,10000,1.0,1.0,0.6059,0.6667,0.0002,0.6737,1.0
uk,fr,0.24,22,32,0.0003,10000,10000,1.0,0.9375,0.501,0.5182,0.5456,0.4596,0.0828
uk,ha,0.17,32,22,0.0,1071,10000,0.1071,1.0,0.5994,0.5807,0.5456,0.4975,0.2181
uk,hi,0.29,7,47,0.0,10000,10000,1.0,0.875,0.518,0.5518,0.5922,0.5252,0.2611
uk,hu,0.24,22,32,0.0007,10000,10000,1.0,1.0,0.5313,0.5041,0.5922,0.4021,0.0191
