Target lang, Source lang,Transfer lang,BLEU,Rank,BLEU level,Overlap word-level,Overlap subword-level,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,GENETIC_2,SYNTACTIC_2,FEATURAL_2,PHONOLOGICAL_2,INVENTORY_2,GEOGRAPHIC_2
eng,fra,swe,0.3778,11,43,0.02986585360815372,0.05662829558113627,56647.0,192304.0,0.2945700557450703,0.09793445344690482,0.045360873894685384,1.3432976952723563,0.9375,0.44,0.5,0.5456,0.4845,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,pol,0.3684,48,6,0.033744063784022935,0.04754553874652672,176378.0,192304.0,0.9171832099176304,0.1171314912318414,0.045360873894685384,2.503401672591411,0.9375,0.56,0.5,0.3333,0.5239,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,fas,0.3722,40,14,0.005909728649592664,0.016231388821088603,150965.0,192304.0,0.7850330726349946,0.04914039052639592,0.045360873894685384,0.006942401009650524,1.0,0.57,0.6,0.5456,0.6025,1.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,kur,0.3771,15,39,0.000573243237758974,0.008096415327564895,10440.0,192304.0,0.05428904234961311,0.22891671826263715,0.045360873894685384,16.37470965503195,1.0,0.72,0.8,0.5456,0.6025,0.2,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,hun,0.3707,45,9,0.021220124753065873,0.04600185242358753,147220.0,192304.0,0.7655586987270155,0.15307856490195398,0.045360873894685384,5.63911881697204,1.0,0.63,0.5,0.2677,0.3122,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,slv,0.3755,23,31,0.01263284912052722,0.035402070804141615,19831.0,192304.0,0.10312317996505532,0.2060847233614264,0.045360873894685384,12.55445387719244,0.9375,0.58,0.6,0.5456,0.4688,0.0,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,ron,0.3743,27,27,0.05661270915533871,0.0717325602911244,180543.0,192304.0,0.9388416257592146,0.06944401213123495,0.045360873894685384,0.2818793954576839,0.625,0.53,0.5,0.3918,0.4336,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,rus,0.3723,38,16,0.010792946142240469,0.018837822912192426,208458.0,192304.0,1.0840024128463266,0.0964285880092507,0.045360873894685384,1.2674475939598846,0.9375,0.51,0.5,0.3333,0.5152,0.2,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,srp,0.3723,38,16,0.014464705111534469,0.03607164916615194,136898.0,192304.0,0.7118832681587487,0.11816137254058205,0.045360873894685384,2.5757628932036085,0.9375,0.59,0.8,0.8691,0.6025,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,tam,0.3796,3,51,0.001772751668392434,0.012947590137529424,6224.0,192304.0,0.03236542141609119,0.3562306111760203,0.045360873894685384,46.96713475224379,1.0,0.71,0.7,0.5456,0.5776,0.4,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,kaz,0.3762,18,36,0.0011396835497960716,0.01244322777328439,3317.0,192304.0,0.017248731175638573,0.4085868404479615,0.045360873894685384,64.11962158093519,1.0,0.9,0.9,1.0,0.6025,0.2,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,mar,0.3774,13,41,0.0007578547373926595,0.009095971783924262,9840.0,192304.0,0.051168982444462933,0.23222498323669785,0.045360873894685384,16.970278312502124,0.9375,0.69,0.6,0.5456,0.5174,0.4,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,ukr,0.3757,20,34,0.008368392432958416,0.01692516001969473,108495.0,192304.0,0.5641848323487811,0.1235396855198613,0.045360873894685384,2.9704025119052653,0.9375,0.5,0.5,0.5456,0.4596,0.1,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
eng,fra,tha,0.3708,44,10,0.00449492448110675,0.021923053171123325,98064.0,192304.0,0.5099425908977452,0.7771632165854434,0.045360873894685384,260.27039144595176,1.0,0.62,0.5,0.5096,0.4674,0.5,0.9375,0.4569,0.4635,0.42700000000000005,0.4753,0.0297
