L1 (transfer language),L1 iso code,L2 (test language),L2 iso code,# L1 examples,# L2 examples,# L2 hallucinated examples,similar script,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC,BEST SCORE (Accuracy) from SIGMORPHON
czech,ces,kashubian,csb,10000,100,10000,0.75,0.4286,0.6600,0.7000,0.0002,0.6784,0.0000,78
czech,ces,latin,lat,10000,100,10000,0.7631578947,0.8571,0.5500,0.7000,0.0002,0.6784,0.0000,42
danish,dan,middle-high-german,gmh,10000,100,10000,0.8148148148,0.5714,0.6600,0.8000,0.0002,0.0000,1.0000,78
danish,dan,middle-low-german,deu,10000,100,10000,0.6571428571,0.5714,0.4900,0.7000,0.5456,0.6153,0.0000,48
danish,dan,north-frisian,frr,10000,100,10000,0.8888888889,0.6250,0.6600,1.0000,0.0002,0.6196,0.0000,46
danish,dan,west-frisian,fry,10000,100,10000,0.8620689655,0.5714,0.6300,0.6000,0.0002,0.0000,0.0000,48
dutch,nld,middle-high-german,gmh,10000,100,10000,0.9259259259,0.6000,0.6300,0.6000,0.0002,0.6068,1.0000,76
dutch,nld,middle-low-german,deu,10000,100,10000,0.7428571429,0.2857,0.3500,0.4000,0.5456,0.3086,0.0000,78
dutch,nld,north-frisian,frr,10000,100,10000,0.8888888889,0.5000,0.6300,0.6000,0.0002,0.4134,0.0000,50
dutch,nld,west-frisian,fry,10000,100,10000,0.8965517241,0.6000,0.4400,0.7000,0.0002,0.6068,0.0000,46
english,eng,murrinhpatha,mwf,10000,100,10000,1,1.0000,0.7100,0.6000,0.4121,0.5804,0.7000,56
english,eng,north-frisian,frr,10000,100,10000,0.8518518519,0.4000,0.5700,0.6000,0.5687,0.4840,0.0000,78
english,eng,west-frisian,fry,10000,100,10000,0.8275862069,0.4000,0.6300,0.8000,0.5687,0.5983,0.0000,48
estonian,est,ingrian,izh,10000,100,10000,0.9545454545,0.3333,0.6600,0.8000,0.0002,0.0000,0.0000,42
estonian,est,livonian,est,10000,100,10000,0.6,0.0000,0.0000,0.0000,0.0002,0.0000,0.0000,43
estonian,est,votic,vot,10000,100,10000,0.8888888889,0.3333,0.8900,0.9000,0.0002,0.0000,0.0000,56
finnish,fin,ingrian,izh,10000,100,10000,0.9545454545,0.5000,0.5700,0.6000,0.5687,0.6506,0.0000,86
finnish,fin,livonian,est,10000,100,10000,0.575,0.5000,0.4100,0.7000,0.5687,0.6506,0.0000,36
finnish,fin,votic,vot,10000,100,10000,0.8518518519,0.5000,0.8100,0.9000,0.5687,0.6506,0.0000,42
