language,language code,data size,sentence length,OHIOSTATE-01-2,NLPCUBE-01-2,ITU-01-2,CHARLES-SAARLAND-01-2,CHARLES-SAARLAND-02-2,CARNEGIEMELLON-02-2,CBNU-01-2,UFALPRAGUE-01-2,EDINBURGH-01-2,RUG-02-2,CMU-01-2-DataAug
UD_Czech-CAC,ces,19767,19.98,98.19,98.34,98.88,99.45,99.45,97.7,98.22,99.32,98.72,97.32,98.03
UD_Czech-CLTT,ces,900,31.83,97.82,97.41,98.35,99.3,99.3,94.2,98.41,99.47,97.6,96.43,97.71
UD_Czech-FicTree,ces,10208,13.06,97.91,98.05,98.09,99.01,99.01,96.93,97.89,98.82,98.28,96.23,97.79
UD_Czech-PDT,ces,70330,17.18,96.74,98.5,98.32,99.42,99.42,98.5,98.08,99.4,98.45,97.3,90.13
UD_Czech-PUD,ces,800,18.52,93.63,91.35,93.32,96.74,96.74,90.88,93.06,98.13,93.73,93.73,92.85
UD_Danish-DDT,dan,4409,18.36,96.44,96.89,96.78,98.15,98.15,95.14,94.86,98.33,96.82,89.36,96.04
UD_Dutch-Alpino,nld,10866,15.40,97.59,97.82,98.01,98.62,98.62,97.72,97.37,98.56,97.87,96.09,97.43
UD_Dutch-LassySmall,nld,5872,13.41,96.91,97.07,97.55,98.08,98.08,95.83,96.45,98.21,97.38,94.3,96.88
UD_English-EWT,eng,13297,15.41,97.64,97.83,98.05,99.19,99.19,96.84,97.31,99,98.02,95.72,97.53
UD_English-GUM,eng,3519,18.15,97.5,96.28,97.89,98.45,98.45,97.29,97.09,98.63,97.77,92.87,92.64
UD_English-LinES,eng,3651,18.19,97.94,98.1,98.13,98.62,98.62,97.27,97.87,98.6,98.18,97.15,93.3
UD_English-PUD,eng,800,21.16,95.29,95.44,96.37,97.89,97.89,94.65,94.9,96.37,96.37,91.52,95.05
UD_English-ParTUT,eng,1672,23.51,97.61,97.76,97.82,98.51,98.51,97.32,97.3,98.52,97.26,96.72,97.61
UD_Estonian-EDT,est,24578,14.12,95.37,95.68,96.41,88.16,88.16,95.83,95.76,96.65,97.09,92.87,95.19
UD_Faroese-OFT,fao,966,8.28,88.28,87.61,88.28,88.95,88.95,67.72,88.28,89.53,87.61,86.36,88.76
UD_Finnish-FTB,fin,14978,8.51,95.11,93.58,94.74,95.45,95.45,94.61,95.87,96.17,96.32,92.38,94.66
UD_Finnish-PUD,fin,800,15.70,88.78,81.04,88.71,,85.48,85.1,89.09,89.98,88.08,87.19,87.7
UD_Finnish-TDT,fin,12108,13.36,88.03,94.5,0,95.73,95.73,95.09,87.73,96.6,96.28,91.76,87.59
UD_French-GSD,fra,13073,24.51,98.09,98.23,98.42,99.01,99.01,98.38,97.56,98.86,98.36,98.14,98.12
UD_French-ParTUT,fra,816,27.73,96,95.56,96.06,96.66,96.66,94.02,95.81,96.63,95.94,96.57,96.13
UD_French-Sequoia,fra,2479,22.78,98.07,98.19,98.43,98.81,98.81,97.19,97.32,99.01,98.47,96.59,98
UD_French-Spoken,fra,2228,12.65,97.98,97.82,98.35,98.85,98.85,98.57,97.17,98.88,97.73,98.99,98.07
UD_Galician-CTG,glg,3194,34.76,98.19,98.14,98.44,98.96,98.96,98.11,97,98.9,98.45,98.28,98.17
UD_Galician-TreeGal,glg,800,25.71,96.45,94.48,96.52,98.46,98.46,95.48,94.05,98.65,96.21,96.87,96.14
UD_German-GSD,ger,12472,18.77,96.22,92.28,97.65,97.62,97.62,96.05,97.11,97.61,97.58,95.01,96.73
UD_Gothic-PROIEL,got,4320,10.34,96.88,95.7,96.04,94.54,94.54,94.97,96.62,95.77,97.03,95.04,96.64
UD_Greek-GDT,ell,2016,25.08,96.76,95.53,96.46,82.95,82.95,94.61,95.98,96.95,97.24,95.17,96.51
UD_Hebrew-HTB,heb,4972,26.03,96.99,97.14,97.51,97.85,97.85,96.28,96.83,98.17,97.46,96.13,96.93
UD_Hindi-HDTB,hin,13317,21.17,98.53,96.66,98.84,98.84,98.84,97.67,96.4,98.87,98.83,98.26,98.68
UD_Hungarian-Szeged,hun,1440,23.24,95.54,94.4,96.24,96.99,96.99,94.42,95.19,97.47,96.51,92.05,95.33
UD_Indonesian-GSD,ind,4474,21.73,99.39,92.66,99.41,99.51,99.51,99,99.5,99.61,99.34,99.09,99.37
